title,content,link
Reform should include marginalised groups’ voice,"The voices of the marginalised and vulnerable groups including women, low-income households, people with disabilities, third- and trans-gender, and minorities should be included in the reform for good governance, experts said on Sunday. At the Citizen’s Conference 2024, held at the Bangabandhu International Conference centre in the capital, they also said that these groups should be engaged in policymaking through systemic change. The two-day conference titled ‘People-centric reform for good governance aspirations of disadvantaged communities’ was organised by Citizen’s Platform for Sustainable Development Goals, Bangladesh with support from the United Nations Development Programme, Bangladesh and Swiss Agency for Development and Cooperation. Debapriya Bhattacharya, the platform convener and distinguished fellow of Centre for Policy Dialogue, said in the context of the July mass uprising that the governance of the country did not change with the change in the government. He said that those who were kept behind must be brought in the mainstream in future and their voices must be heard. Attending the conference as chief guest, chief justice Syed Refaat Ahmed said that the people’s principles of judgement and values of justice had been destroyed and distorted under the judicial process in the past years. He said that the judicial system had already started institutional reforms and the community-based judicial system must be strengthened for empowering citizens at the grassroots level. Lamiya Morshed, principal coordinator for SDG affairs, said that the interim government inherited a broken system of institutions and economy and therefore launched a series of reforms. ‘We have to rebuild that we hope will bring sustainable change to prevent a regression back to old broken and corrupt systems,’ she added. UNDP Bangladesh resident representative Stefan Liller said that for a long time voices of the women, youths, persons with disabilities, poor, minorities, and other marginalised groups had been sidelined in Bangladesh and now was the time for inclusion. Corinne Henchoz Pignani,  chargé d’affaires of Switzerland embassy in Bangladesh emphasised the inclusion of all voices, an organised education system, dialogue and a governance reform agenda centred on aspirations of the people at this ‘crucial juncture’. On the first day of the conference, Jahangirnagar University professor Nurul Huda Sakib presented ‘Localism for leave no one behind groups’ rights: a proposed social protection governance model,’ American International University-Bangladesh senior assistant professor Faria Sultana presented ‘Citizen-led oversight: empowering marginalised communities for equitable public service delivery’ and Dhaka University professor Asif M Shahan presented ‘Breaking the iron triangle of policy making: empowering marginalised groups in realising rights.’",https://www.newagebd.net/post/country/252356/reform-should-include-marginalised-groups-voice
India urged to accept August 5 reality,"Foreign adviser Md Touhid Hossain at a discussion on Sunday said that the relations between Bangladesh and India underwent a qualitative change following the August 5 regime change, and that the change must be acknowledged in order to move the relationship forward. The SAARC Journalist Forum Bangladesh organised the seminar at the National Press Club to mark the 40th Charter Day of the SAARC. ‘To solve any problem, we must first admit the existing problem. Similarly, we must also acknowledge that there has been a qualitative change in our relationship after August 5. We must acknowledge this and work towards moving our relations forward,’ said Touhid while speaking as chief guest of the event. He said that the current strain relations were not only impacting Bangladesh but also India, a much larger economy. Bangladesh Nationalist Party vice-chairman Abdul Awal Mintoo said that his party doesn’t want the relation with neighboring country to deteriorate. Demanding revitalising the SAARC, he said that it was crucial for regional cooperation and prosperity. ‘We have nothing like SAARC for regional prosperity,’ he said. Strategic expert Brig Gen (Rtd) Hasan Nasir admitted that the SAARC had a huge scope for trade and economy, but the tension of Indo-Pak rivalry, terrorism, border issues and refugee were challenge in the moving forward. The New Nation former editor Mostafa Kamal Majumder spoke among others at the event presided over by SAARC Journalist Forum Bangladesh president Nasir Al Mamoon and moderated by its executive committee member Rafiqul Islam Azad.",https://www.newagebd.net/post/foreign-affairs/252355/india-urged-to-accept-august-5-reality
Saifur’s to organise SSC English Confidence Exam Challenge,"Saifur’s is going to organise the SSC with Saifur’s English Confidence Exam Challenge for the upcoming secondary school certificate 2025 batch. The announcement was made a press conference at its Green Road office in Dhaka on Saturday, said a press release on Sunday. Competitive English exams will be held at every branch of Saifur’s across the country. The exams are divided into two phases. Four exams will be organised in phase 1, and two exams will be held in phase 2. In this competition, SSC English preparation will be covered in six days. In Phase 1, the top 3 winners from each of the four exams at every Saifur’s branch will receive prizes. In phase 2, the top three winners nationwide will receive laptops, tablets, and smartphones for 1st, 2nd, and 3rd place, respectively. The winners in positions 4th to 10th will also receive various electronic gadgets, including smartphones. The competition is completely free with no registration fee. Until January 8, 2025, students from anywhere in the country can register online visiting ssc.saifurs.com.bd.",https://www.newagebd.net/post/campus-bites/252354/saifurs-to-organise-ssc-english-confidence-exam-challenge
"PMI grows on agri, manufacturing, service sectors","The Bangladesh Purchasing Managers’ Index increased by 6.5 points to surpass 60 points in November, indicating economic growth for the second consecutive month after a period of contraction over the previous three months, according to a report. The Metropolitan Chamber of Commerce and Industry, Dhaka, and the Policy Exchange Bangladesh published the PMI November report on Sunday. However, the country continued to face domestic challenges due to uncertainties linked to political processes and disruptions caused by industrial and other protests, the PMI report observed. The latest PMI reading attributed the growth to a faster rate of expansion in agriculture, manufacturing, and services sectors. However, the construction sector reverted to a contraction. The PMI index is measured on a scale of zero to 100. Compared with the previous month, a score above 50 indicates economic expansion, while a score below 50 signifies contraction. A score of exactly 50 means there has been no change in activity in the respective sector during the month. The agriculture sector posted its second consecutive month of expansion and at a faster rate. Growth was driven by faster rates in the indices of new business and business activity. Although the employment index experienced a slower contraction, the order backlogs index posted a faster contraction. The manufacturing sector recorded its third month of expansion, with an accelerated growth rate. Expansion was noted across several indices, including new orders, exports, factory output, input purchases and input prices. For the first time, expansion was also recorded in finished goods, imports, employment and supplier deliveries indices. Meanwhile, the order backlogs index saw a slower rate of contraction. After a marginal expansion in the previous month, the construction sector returned to contraction. The sector reported contraction in indices of input costs and order backlogs, while new business, construction activity and employment indices showed growth. The services sector recorded its second consecutive month of expansion, with a faster growth rate. Faster expansion was seen in indices of new business, business activity and order backlogs. The input costs index rose at a slower pace, and the employment index shifted back to expansion. The future business index highlighted faster expansion rates in key sectors such as agriculture, construction and services. However, the manufacturing sector experienced a slower expansion rate. The November PMI report underscored a mixed but optimistic outlook for the economy, driven by positive performances in key sectors despite enduring challenges related to domestic political uncertainties and disruptions.",https://www.newagebd.net/post/economy/252353/pmi-grows-on-agri-manufacturing-service-sectors
"Salehuddin urges industrialists to invest in education, research","Finance adviser Salehuddin Ahmed on Sunday urged industrialists to invest in education and research to bridge the gap in skilled manpower and knowledge in the industrial sector. The adviser made these remarks as chief guest at the celebration ceremony of the Graduate Diploma in Leather, Leather Goods and Footwear Management programme of East West University held at EWU campus in the city, said a press release. Salehuddin Ahmed emphasised that successful figures like Bill Gates and Elon Musk did not achieve their innovations solely by themselves; their success was built on long- term investments in research. He highlighted the irony that while business leaders in Bangladesh often complain about the lack of skilled manpower, they did not invest in educational and research institutions. The event was presided over by chief adviser of EWU and former governor of the Bangladesh Bank Mohammed Farashuddin. Other distinguished speakers included resident representative of the Asian Development Bank in Bangladesh Hoe Yun Jeong, vice-chancellor of EWU Shams Rahman, senior vice-president of the Leathergoods and Footwear Manufacturers and Exporters Association of Bangladesh Mohammed Nazmul Hassan, additional secretary of the Finance Division Mohammed Walid Hossain and professor of the Department of Business Administration of EWU and programme director of the Graduate Diploma in Leather, Leathergoods and Footwear Management Programme Tanbir Ahmed Chowdhury. The ceremony was attended by EWU diploma graduates, faculty members, Officers from different sections, officials from the Ministry of Finance, and representatives from the Asian Development Bank, among others.",https://www.newagebd.net/post/mis/252352/salehuddin-urges-industrialists-to-invest-in-education-research
RMG makers facing banking challenges: study,"The country’s apparel makers are facing significant challenges in banking processes, particularly with issues related to raw material imports and export proceeds receipts, according to a study. The most pressing concerns include delays in opening letters of credit, high bank charges and payment receipt delays, which are disrupting trade operations, Bangladesh Institute of Development Studies research director Monzur Hossain said while releasing the study. The study findings presented on the second day of the four-day Annual BIDS Conference on Development 2024 at the Lakeshore Hotel on Sunday. It showed that a staggering 40 per cent of surveyed firms reported delays in opening LCs as key bottleneck, hampering supply chains. Three per cent of them faced difficulties in opening LCs due to the dollar crisis. Sixteen per cent of respondents expressed concerns over delays in receiving payments, which impacted their cash flow and operational continuity. Thirteen per cent reported that higher charges were adding to operational costs. The study ‘Supply chain dynamics for sustainable RMG growth in Bangladesh’ conducted on 63 medium and large garment factories revealed that on average 38 per cent of the firms sourced raw materials such as yarn, fabric, chemicals, trims and accessories domestically. Another 24 per cent relied on intermediaries or third parties for international sourcing, while the remaining 38 per cent directly sourced from international markets, the study found. In terms of recommendations, 46 per cent of respondents suggested reducing bank transaction costs or charges, while 22 cent called for the use of TT payments. Other recommendations included establishing precise exchange rates for the dollar, standardising LC charges across banks, reducing taxes and adopting advanced technologies. Some also stressed the importance of increasing domestic sourcing to avoid banking complications. Monzur highlighted the challenges faced in timely sourcing of raw materials from foreign suppliers. He suggested that direct marketing and eliminating intermediaries could help improve supply chain efficiency by meeting lead times, avoiding air shipments and preventing order cancellations. Addressing the impact of Bangladesh’s post-LDC graduation, Monzur said that the country would lose its duty-free market access to developed markets, including the European Union. Citing the reference of previous studies, he said that Bangladesh’s RMG exports could face duties ranging from 7 per cent to 14 per cent, and the sector could see a decline of 10.8 per cent in exports by 2031. The total exports might decrease by 6 per cent, it mentioned. The study suggested strengthening backward linkages by expanding fabric production capacity, which would enhance the competitiveness of the RMG sector. BIDS research director Kazi Iqbal also presented findings from a study titled ‘Technology upgradation of the RMG industries in Bangladesh’, which examined eight products, 36 processes and 136 sub-processes across 43 firms. The study revealed that as the industry became more capital-intensive, the number of factory workers per machine had decreased over time, particularly affecting machine operators and helpers. The last decade saw significant capacity expansion, along with a rise in technical professionals, including BSC and Diploma textile and industrial engineers, it found. The study said that there was also an increase in the use of software, direct exports and certification, reflecting improved firm capabilities. Investment in research and development has been higher for certain products such as home textiles, lingerie, sweaters, woven shirts, and trousers. Productivity has increased across various sub-processes, with the highest gains in jackets, home textiles and lingerie, the study mentioned. The study also said that the share of female workers in the labour force decreased from 56 per cent in 2014 to 53 per cent in 2023, with a significant drop in the jacket sector. The study also noted that higher capital intensity had both displaced and reinstated workers. Another study presented at the conference found that a 50-per cent increase in the adoption of advanced technologies, such as automation, could lead to the elimination of 17.57 lakh manufacturing jobs in Bangladesh. The study ‘How would technological progress impact employment in the manufacturing sector of Bangladesh? An empirical projection’ analysed the potential impact of technological advancements on the country’s labour force, estimating job losses under three scenarios: a 15-per cent increase in technological efficiency, a 30-per cent enhancement and a 50-per cent adoption of advanced technologies. The findings painted a stark picture of the challenges ahead for apparel and textile workers in the face of rapid automation and innovation. The study identified apparel sector as the most affected sector. It projected potential job losses of 2.55 lakh at a 15-per cent productivity increase, rising to 6.51 lakh for a 50-per cent increase in the apparel sector. According to the study jointly presented by Dhaka University economics department assistant professor Mahtab Uddin and the BIDS research associate Farhin Islam showed that textiles could be the second hardest hit manufacturing sector with up to 2.95 lakh jobs at risk under a 50-per cent technology upgradation. The study mentioned that the non-metal products sector could see up to 4.34 lakh under a 50-per cent increase in technological efficiency. Similarly, the food production sector, known for its reliance on manual labour, faces potential job cuts of up to 1.14 lakh the leather and leather goods industry could lose up to 45,697 jobs, pharmaceuticals sector, despite being less labour-intensive, may see 34,145 jobs displaced. The furniture industry could lose up to 36,317 jobs as technological improvements in wood processing and assembly reshape production processes, the study said.",https://www.newagebd.net/post/apparel/252351/rmg-makers-facing-banking-challenges-study
"US clean energy, defence to be impacted by China export curbs","China’s retaliatory export controls could take a toll on the growing US clean energy sector and its defence industry, analysts say, as a trade tussle escalates between the world’s two biggest economies. Beijing announced this week it would ban exports of gallium, germanium and antimony to the United States, targeting materials used for everything from semiconductors to solar cells. China also tightened restrictions on graphite, which is key to the electric vehicle industry. The moves, which Beijing said were to safeguard national security, swiftly followed Washington’s own curbs to hobble China’s ability to make advanced computer chips. While trade tensions have been simmering, US president-elect Donald Trump’s arrival at the White House in January is likely to ratchet up the temperature on trade — with the Republican already vowing sweeping tariffs on Chinese imports. Analysts say it would take time to assess the impact of the new Chinese curbs on US industries, though any immediate hit should be limited. Some see Beijing’s moves as symbolic for now, even as ramifications depend on how China enforces the new rules. ‘This certainly could drive up costs,’ said Arun Seraphin of the National Defence Industrial Association. ‘It could create situations where you can’t produce what you need.’ ‘It’s certainly going to drive a lot of uncertainty for companies who want to plan out their supply chain,’ he told AFP. China is a major producer of the three metals in question. In August, it unveiled export controls on some antimony products and since then, shipments have plunged. Restrictions announced in 2023 on gallium and germanium also hit exports to the United States. ‘Gallium, germanium, and antimony are vital inputs for defence technologies,’ said Gracelin Baskaran and Meredith Schwartz of the Centre for Strategic and International Studies (CSIS) in a recent analysis. Gallium and germanium are increasingly preferred over traditional silicon for high-performance chips used in defence applications, CSIS added. It noted these materials have properties that boost device performance, speed, and energy efficiency. Antimony is used in fireproofing and has defence-related uses, too. While China is investing in munitions and buying high-end weapons systems more rapidly than the United States, the US industrial base lacks capacity to meet defence tech production needs, the report warned. ‘Bans on vital mineral inputs will only further allow China to outpace the United States in building these capabilities,’ it said. The US Geological Survey estimates that if China’s net exports of gallium and germanium were completely restricted simultaneously, US GDP could decrease by $3.4 billion. Besides defence, gallium-based semiconductors are used in radio frequency electronics, LEDs for lighting and high-efficiency solar cells, the US Geological Survey noted. Although gasoline vehicles do not call for graphite, electric vehicles (EVs) require an average of 136 pounds (61.7 kilograms) of the material, CSIS said. This could prove dicey for the United States, which has spurred billions in private sector investments for its domestic EV supply chain through subsidies via the Inflation Reduction Act. The act is a package of energy transition policy and social reforms under President Joe Biden. Seraphin told AFP that although Washington also pushed to attract investment and build up US semiconductor manufacturing capacity through the CHIPS and Science Act, these efforts do not yet target components such as germanium. Beijing’s retaliation this week steps up the restrictions on gallium and germanium announced in 2023 — as China hit back at previous US semiconductor export controls. ‘The industry was likely somewhat surprised by the swiftness of the imposition of a broader ban, but has been conditioned over the past year to expect some restrictions,’ Paul Triolo of Albright Stonebridge Group told AFP. He noted that China’s commerce ministry had already implemented a licensing regime around these key minerals, including ‘rolling three-month licenses to try and prevent stockpiling.’ While there has been some effort to stockpile minerals like graphite and gallium, this does not appear to be coordinated between US authorities and allies to reduce reliance on China over the long haul. It will be tricky to create capacity for processing and producing products based on these minerals outside China, Triolo believes, due to costs and regulatory challenges. ‘Companies are reluctant to enter these markets without long-term guarantees of subsidies, given the dominance of Chinese firms,’ he said.",https://www.newagebd.net/post/economy/252350/us-clean-energy-defence-to-be-impacted-by-china-export-curbs
TikTok closer to US ban after losing court appeal,"TikTok edged closer to being banned in the United States after it lost an appeal on Friday against a law requiring the video-sharing app to divest from its Chinese parent company by January 19. The potential ban could strain US-China relations just as president-elect Donald Trump prepares to take office on January 20. TikTok said it would now appeal to the Supreme Court, which could choose to take up the case or let the circuit court’s decision stand. ‘The Supreme Court has an established historical record of protecting Americans’ right to free speech, and we expect they will do just that on this important constitutional issue,’ the company said. TikTok will also be looking to Trump, who has emerged as an unlikely ally, arguing that a ban would mainly benefit Facebook parent company Meta’s platforms, owned by Mark Zuckerberg. Trump’s stance reflects broader conservative criticism of Meta for allegedly suppressing right-wing content, including the former president himself being banned from Facebook after the January 6, 2021, Capitol riot by his supporters. The US government alleges TikTok allows Beijing to collect data and spy on users. It also says TikTok is a conduit to spread propaganda, though China and app owner ByteDance strongly deny these claims. The law, signed by President Joe Biden in April, would block TikTok from US app stores and web hosting services unless ByteDance sells the platform by January 19. While recognising that ‘170 million Americans use TikTok to create and view all sorts of free expression,’ the three-judge panel unanimously upheld the law’s premise that divesting it from China’s control ‘is essential to protect our national security.’ They found that the law did not hinder free speech as it was ‘devoid of an institutional aim to suppress particular messages or ideas.’ The judges also disagreed with the idea that less drastic alternatives than a sale by ByteDance would solve the security issues. US Attorney General Merrick Garland welcomed the decision saying ‘the Justice Department is committed to defending Americans’ sensitive data from authoritarian regimes that seek to exploit companies under their control.’ Trump’s support for TikTok marks a reversal from his first term, when the Republican leader tried to ban the app over similar security concerns. That effort got bogged down in the courts when a federal judge questioned how the move would affect free speech and blocked the initiative. Among those who helped Trump to the White House in this year’s election was Jeff Yass, a major Republican donor with ByteDance investments. ‘Donald Trump could be a lifeline for TikTok once he takes office, but halting the enforcement of the ban is easier said than done,’ said Emarketer lead Analyst Jasmine Enberg. ‘And even if he does manage to save TikTok, he’s already flip-flopped on his stance toward the app and there’s no guarantee he won’t go after it later.’ The president-elect launched his own TikTok account in June, gaining 14.6 million followers, but has not posted since Election Day. Despite the uncertainty, TikTok’s presence in the United States continues growing. The platform reported $100 million in Black Friday sales for its new shopping venture, and Emarketer projects US ad revenue will reach $15.5 billion next year, accounting for 4.5 per cent of total digital ad spending in the country. But Enberg warned a ban would significantly disrupt the social media landscape, benefiting Meta, YouTube, and Snap while harming content creators and small businesses dependent on TikTok. Gautam Hans, professor at Cornell Law School, said the judges treated the government’s national security argument ‘with great deference... while undervaluing the radical effects this unfortunate decision will have for individual speakers and First Amendment doctrine.’ But given the unanimous ruling and the short timeline before the law’s date of taking effect, it was ‘unlikely that the Supreme Court will take the case, which will almost certainly lead to TikTok’s demise in just a handful of weeks,’ he added. In contrast, Carl Tobias, of the University of Richmond, said that given the ‘critical implications’ of the issues in question — national security and free speech — the apex court would likely take the case.",https://www.newagebd.net/post/mis/252349/tiktok-closer-to-us-ban-after-losing-court-appeal
Georgia’s outlook cut to negative by Fitch,"Fitch Ratings downgraded Georgia’s outlook to negative from stable on Friday, citing sharply increased political risks following disputed October parliamentary elections that have sparked widespread protests in the Caucasus nation. The ratings agency maintained Georgia’s long-term foreign currency rating at ‘BB’ but warned that ongoing political turmoil could undermine investor confidence and pressure the country’s external finances. The move comes as pro-EU opposition parties have refused to recognize election results that saw the ruling Georgian Dream party secure 89 out of 120 parliamentary seats. Opposition groups have vowed to boycott parliament amid allegations of electoral fraud. Adding to tensions, Georgia’s government recently announced a postponement of EU accession talks until at least 2028, despite constitutional obligations to pursue membership and overwhelming public support for European integration. ‘Political risks are likely to remain very high,’ Fitch said, noting that ‘a protracted political crisis could undermine the institutional framework and affect investor and domestic confidence.’ The agency highlighted concerning economic indicators, including a 13 per cent drop in international reserves to $4.1 billion in October — equivalent to just 2.1 months of current account payments, well below the median for similarly-rated countries. Despite these headwinds, Georgia’s economy has shown resilience, posting 10 per cent growth in the first 10 months of 2024. Fitch projects growth will end the year at 8.7 per cent and moderate to 5.3 per cent in 2025 as political uncertainties weigh on the outlook. More trouble is expected after December 14, when Georgian Dream lawmakers elect a loyalist to succeed pro-Western President Salome Zurabishvili. She has vowed not to step down until the parliamentary polls are re-run.",https://www.newagebd.net/post/economy/252348/georgias-outlook-cut-to-negative-by-fitch
Rio Tinto’s Bougainville mine poses ongoing threats: report,"A long-abandoned Papua New Guinea mine once operated by Anglo-Australian mining giant Rio Tinto poses environmental and safety concerns for nearby communities, who live under the threat of landslides, a new report shows. A two-year study of the Panguna mine — located on the autonomous island of Bougainville — found that mine structures had ‘deteriorated’, while ‘tailings continued to migrate downstream and chemicals continue to be released’. The Rio Tinto-commissioned study, conducted by environmental firm Tetra Tech Coffey, found that in some areas, buildings, bridges or the ground itself were ‘unstable and may collapse’. This poses the risk of harm, injury or death to the local community, according to the report. The mining giant has for years been accused of sidestepping responsibility for cleaning up poisonous waste at the vast mothballed copper and gold mine. Rio Tinto’s Australian chief executive Kellie Parker said the ‘comprehensive assessment’ marked an important milestone in understanding the long-term impacts of the mine. ‘While we continue to review the report, we recognise the gravity of the impacts identified and accept the findings,’ she said in a Friday statement. Parker acknowledged it would take time, but vowed to work closely with stakeholders to ensure the legacy of the mine was addressed in a ‘fair and equitable manner’ for impacted communities. The report found that tailings from the mine — which run into the Kawerong-Jaba River — had ‘permanently changed the river system’ and it would not ‘naturally return to how it was before the mine for at least 100 years’. The river system also posed a risk to the communities’ health and high metals in soil that made plants difficult to grow, the report said. But there were still some water sources that people could safely drink, bathe and swim in. The report made 24 recommendations, including outlining areas that need further investigation, which will be considered by relevant stakeholders to determine the next steps. Australia’s Human Rights Law Centre, which helped organise legal action against Rio Tinto, said communities continued to live with the ‘devastating impacts of the mine’. ‘Mine infrastructure is crumbling, putting lives at risk. Villages are being flooded and communities cut off from access to water and essential services,’ the centre said in an update on its website. It vowed to continue working with the community. The mine is estimated to still hold more than five million tonnes of copper and 19 million ounces of gold — worth billions of dollars at current market prices. The Panguna mine, which operated between 1972 and 1989, was one of the South Pacific’s largest mines. But anger among locals over the environmental damage and distribution of profits triggered an uprising that forced its closure. The ensuing civil war left up to 20,000 people dead — about 10 per cent of Bougainville’s population at that time. As part of a 2001 peace agreement that ended the civil war, Bougainville voted overwhelmingly to gain independence from Papua New Guinea.",https://www.newagebd.net/post/mis/252347/rio-tintos-bougainville-mine-poses-ongoing-threats-report
