title,content,link
"EU adds 28 Belarus officials, ‘propagandists’ to blacklist","The European Union on Monday added 28 officials and ‘propagandists’ in Belarus to a sanctions blacklist over the repression of opponents of leader Alexander Lukashenko. The 27-nation bloc has imposed repeated rounds of sanctions on the Belarusian government since the authorities launched a crackdown on protests against Lukashenko’s rule in 2020. The EU has also ramped up sanctions on Belarus over its role as a key springboard for Russia’s invasion of neighbouring Ukraine. The latest measures take the number of individuals sanctioned over the clampdown in the former Soviet country to 261, with the list already including Lukashenko and his family members. Among those subjected Thursday to an EU asset freeze and visa ban were Irina Akulovich, head of national news agency BelTA, and prominent television presenter Nikita Rachilovsky. ‘These regime propagandists willingly provided the Belarusian public with false information about repression perpetrated by the state authorities,’ the EU said in a statement. Among others added to the blacklist were two commanders in an interior ministry unit accused of being ‘one of the main bodies responsible for political persecution’. Sanctions were in addition imposed on judges, prosecutors and prison officials involved in the repression of the opposition. Lukashenko, Russia’s closest international ally, launched the vicious crackdown in August 2020 after his claim to have won disputed elections sparked major protests. Leading rights group Viasna estimates Belarus has more than 1,400 political prisoners, with thousands more people having fled the country. Strongman Lukashenko has controlled his country with an iron fist during his three-decade rule.",https://www.newagebd.net/post/europe/241767/eu-adds-28-belarus-officials-propagandists-to-blacklist
US military completes withdrawal from final base in Niger,"The US military has withdrawn its forces from its final base in Niger, the Pentagon said Monday, more than a year after military coup leaders in the African country told them to leave. The ‘withdrawal of US forces and assets from Air Base 201 in Agadez is complete,’ the Pentagon said in a joint statement with Niger’s defense ministry. ‘This effort... will continue between US and Nigerien armed forces over the coming weeks to ensure the full withdrawal is complete as planned,’ it continued. It did not give any detail on what assets the US may still have left to withdraw in the country. Some 200 soldiers had been at the Agadez drone base, in the north of the country. US troops were part of an international effort to suppress jihadist forces that regularly strike across the region. But the Niger military leaders who seized power in a coup a year ago in March told US and French forces to quit the country. ‘Over the past decade, US troops have trained Niger’s forces and supported partner-led counterterrorism missions against Islamic State and al Qaeda in the region,’ the statement continued. ‘The effective cooperation and communication between the US and Nigerien armed forces ensured that this turnover was finished ahead of schedule and without complications,’ it said.",https://www.newagebd.net/post/africa/241766/us-military-completes-withdrawal-from-final-base-in-niger
Lebanon says two dead in Israeli strike,"Lebanon’s health ministry said two people were killed on Monday in an Israeli strike on the country’s south, with Hezbollah announcing one of its fighters died and local rescuers mourning a paramedic. Since last week, tensions have soared as Iran and Tehran-backed groups, including Hezbollah, vowed revenge for the killing of Hamas’s political leader in Tehran and Israel’s killing of Hezbollah’s military chief in Beirut. Hezbollah has traded near-daily fire with Israel in support of ally Hamas since the Palestinian militant group’s October 7 attack on Israel triggered the Gaza war. ‘The enemy raid that took place near the (Mais al-Jabal) town’s cemetery killed two people,’ Lebanon’s health ministry said in a statement following Monday’s strike. The state-run National News Agency (NNA) said that one of the two people killed was a paramedic with the Risala Scouts, which is affiliated with Hezbollah ally the Amal movement. Ali Abbas, a rescue worker with the Risala Scouts, told AFP that the paramedic had travelled by motorcycle with another person to inspect the site of an earlier raid. He went ‘to see if there were civilians or people (in the area)... and the second strike happened immediately,’ Abbas said. Hezbollah later announced that a fighter from the same village had been killed by Israeli fire. Amid rising tensions, Israeli jets broke the sound barrier twice over Beirut around noon, according to the NNA, sparking worry in the Lebanese capital. Mais al-Jabal, a frontline village less than two kilometres (1.2 miles) from the border with Israel, has experienced heavy bombardment since the cross-border clashes began, forcing most residents to leave. Early on Monday, Hezbollah said it had targeted military sites in northern Israel with ‘explosive-laden drones’ in response to Israeli ‘attacks and assassinations’ in southern Lebanon. The Israeli military said ‘numerous suspicious aerial targets were identified crossing from Lebanon’ into northern Israel, starting a fire and leaving an officer and a soldier ‘moderately injured’. The cross-border violence since October has killed at least 549 people in Lebanon, mostly fighters but also including at least 116 civilians, according to an AFP tally. On the Israeli side, including the annexed Golan Heights, 22 soldiers and 25 civilians have been killed, according to army figures.",https://www.newagebd.net/post/middle-east/241765/lebanon-says-two-dead-in-israeli-strike
UN calls for urgent de-escalation in Middle East,"The UN High Commissioner for Human Rights Volker Turk on Monday called for an urgent de-escalation in the Middle East over fears that the Gaza war could spread. ‘I am deeply worried about the rising risk of a wider conflict in the Middle East and plead with all parties, along with those states with influence, to act urgently to de-escalate what has become a very precarious situation,’ said Turk in a statement. Iran on Monday said it had the ‘legal right to punish’ Israel over last week’s killing of Palestinian armed group Hamas’s political leader Ismail Haniyeh in Tehran. Israel, which has not commented on the killing but did admit to carrying out a strike on Beirut that left Hezbollah military chief Fuad Shukr dead, has been fighting a war in Gaza since the October 7 attacks by Hamas. It is now exchanging daily cross-border fire with Hezbollah in Lebanon. The international community fears Iran, a backer of Hezbollah and Hamas, could join the conflict. ‘Already, over the past 10 months, civilians—mostly women and children—have endured unbearable pain and suffering as result of the bombs and guns,’ said Turk. ‘Everything, and I mean everything, must be done to avoid this situation spiralling further into an abyss that will only have even more terrible consequences for civilians.’",https://www.newagebd.net/post/middle-east/241764/un-calls-for-urgent-de-escalation-in-middle-east
Malaysia summons Meta over removed PM posts about Hamas leader,"The Malaysian government said Monday it had met with Meta representatives to demand an apology and explanation as to why posts about the death of a Hamas leader were removed from the prime minister’s social media accounts. Prime Minister Anwar Ibrahim’s office said his posts on Facebook and Instagram about Ismail Haniyeh’s death had been removed last week by parent company Meta. The political leader of Palestinian armed group Hamas was killed in Tehran on Wednesday, in an attack blamed on Israel, which has not directly commented on it. Anwar’s posts included a video showing the premier on a phone call with a Hamas official, offering his condolences. On Instagram, there was a note by Meta, shared by Anwar, that the posts were taken down because of association with ‘dangerous individuals and organizations.’ Israel, the United States and the European Union consider Hamas a terrorist organisation. In a statement on Monday, the Malaysian Prime Minister’s Office (PMO) said it ‘views Meta’s actions as discriminatory, unjust, and a blatant suppression of free expression.’ ‘It is also seen as an affront to the legitimate struggle of the Palestinian people in their pursuit of justice and human rights.’ The PMO said it was demanding a public apology and a detailed explanation from Meta. Anwar accused the tech giant of ‘cowardice’ last week for removing his posts. Malaysian authorities have previously chided Meta for removing posts as well as for not taking down what officials deemed as harmful content fast enough. Meta did not immediately respond to AFP requests for comment on Monday. Last year, Human Rights Watch said ‘Meta’s policies and practices were silencing voices in support of Palestine and Palestinian human rights on Instagram and Facebook.’ Anwar, who met Haniyeh in Qatar in May, has defended Malaysia’s ties with the Iran-backed Palestinian militant group, which launched a deadly attack against Israel on October 7 that triggered the war in Gaza. Anwar stressed during a visit to Germany in March that Malaysia’s links were with Hamas’s political wing and not with its military arm.",https://www.newagebd.net/post/asia/241763/malaysia-summons-meta-over-removed-pm-posts-about-hamas-leader
Iran says has ‘legal right’ to punish Israel,"Iran said Monday it has the ‘legal right’ to respond to the assassination in Tehran last week of Hamas chief Ismail Haniyeh, an attack blamed on Israel amid the Gaza war. ‘No one has the right to doubt Iran’s legal right to punish the Zionist regime’, Iranian foreign ministry spokesman Nasser Kanani told a regular news conference, referring to Israel. He maintained that Iran ‘does not seek to aggravate tensions in the region’, which have soared since the Israel-Hamas war broke out in early October and rose further since Wednesday’s attack in Tehran. Iran’s Revolutionary Guards said Israel killed Haniyeh using a ‘short-range projectile’ launched from outside his residence in the Iranian capital which he was visiting to attend the inauguration of President Masoud Pezeshkian. Iran and Hamas as well as other Tehran-aligned armed groups in the Middle East have vowed to retaliate. Israel has not directly commented on the killing, which came just hours the assassination of Lebanese militant group Hezbollah’s military chief Fuad Shukr in an Israeli strike on Beirut. Iran-backed Hezbollah and Israeli forces have traded near-daily fire since early October. Calls for de-escalation have intensified following the high-profile killings, with world powers fearing an all-out regional war. Kanani on Monday said: ‘We believe the consolidation of stability and security in the region will be achieved by punishing the aggressor and creating a deterrent against the adventurous behaviour and extraterritorial terrors of the Zionist regime’. Iran, which does not recognise Israel, has held talks with multiple Arab countries including Jordan, Egypt, Oman and Qatar since Haniyeh’s killing. Tehran has repeatedly reaffirmed its ‘inherent right’ to take action against foe Israel. Israeli Prime Minister Benjamin Netanyahu has said his country was at ‘a very high level’ of preparedness for any scenario, ‘defensive and offensive’.",https://www.newagebd.net/post/middle-east/241762/iran-says-has-legal-right-to-punish-israel
"All offices, educational institutions to reopen from Tuesday","All government, semi-government, autonomous and semi-autonomous offices, private establishments and educational institutions will reopen from Tuesday while curfew will remain in force till 6:00am on the day, said a press release of Inter Services Public Relations Directorate issued on Monday night. The announcement came hours after Sheikh Hasina resigned as prime minister and fled to India amid mass uprising led by student protesters. The government on Sunday declared a three-day general holiday across the country from today and extended the curfew for an indefinite period from Sunday 6:00pm. The government on July 16 announced the indefinite closure of all secondary, and higher secondary level educational institutions. On July 16, the University Grants Commission of Bangladesh also requested all the public and private universities to keep their institutions closed and vacate students’ residential halls until further notice. On the same day, the National University authorities also closed down all colleges under it for an indefinite period. On July 17, the primary and mass education ministry announced the indefinite closure of government primary schools in areas under the jurisdiction of city corporations and later on July 20 it announced closure of all primary schools. The government this Saturday backtracked on its decision of resuming academic activities in all government primary schools across Bangladesh except city corporation areas from Sunday.",https://www.newagebd.net/post/Country/241761/all-offices-educational-institutions-to-reopen-from-tuesday
Australian swimmer Titmus to take ‘extended break’,"Four-time Olympic gold medallist Ariarne Titmus said  Monday she will take an ‘extended break’ from swimming with the aim of being back to her best for the 2028 Los Angeles Games. The Australian, who won two golds and two silver medals at the Paris Olympics, said she may spend up to a year away from the sport as she looks to recharge her batteries. ‘I’m definitely having a very extended break. I haven’t planned when I’m going back to swimming. I want to go back when I feel ready to go back. Could be up to 12 months,’ she told news agency reporters on Monday. Titmus, who won gold in the 400 metres freestyle and the 4x200m freestyle relay in Paris, along with silver in the 200m and 800m freestyle, will turn 24 next month and is keen to be fresh and ready in four years time. ‘I just want to make sure I’m ready to go in LA. I don’t want to come back too early and, you know, lose that fire, I guess,’ she said. ‘I think four years is a long time, so I want to prepare myself the best for those Olympic Games. For me, that’s the priority, not world championships in the years prior. ‘So I just want to really have time to let the hunger build back up and enjoy myself for a little while,’ she said. Titmus’ great rival, American Katie Ledecky, has said she aims to continue on for a fifth Olympics which would set up another series of their contests. While Titmus has beaten Ledecky to gold in the past two Olympic 400m events, the American, who is 27, has won four straight golds in the 800m. The Tasmanian said she was glad their duel looked to set to resume. ‘t’s always exciting racing the best in the world and I think we get the best out of each other,’ she said. ‘You know, it’s more satisfying racing a champion like her and being successful than not. So I think it’d be crazy for her not to try and keep going for her home games. ‘And yes, it’s another challenge, it is always a challenge racing her so I look forward to it,’ she added. With Canadian teenager Summer McIntosh having emerged as a major star, with two golds in Paris, Titmus feels women’s swimming is in a golden era. ‘I think that at the moment, it’s probably, since I can remember, the best it’s ever been in terms of how fast we’re swimming, the depth we have across the world, the depth in Australia,’ she said. ‘So I feel very privileged and have a sense of pride to contribute to that at the moment. I think people are going to look back on this era of swimming and say that it was one of the best.’",https://www.newagebd.net/post/others/241757/australian-swimmer-titmus-to-take-extended-break
IBA stripped of boxing claims gender-row fighters ‘are male’,"The International Boxing Association claimed Monday at a chaotic press conference that tests on two boxers at the centre of a gender controversy at the Paris Olympics show they ‘are male’. The IBA said previously that it disqualified Algeria’s Imane Khelif and Taiwan’s Lin Yu-ting from its 2023 world championships after the fighters failed gender eligibility tests, without specifying what the tests were. The boxing in the French capital is run by the International Olympic Committee because of financial, governance and ethical concerns at the IBA. The IOC cleared the two boxers to fight and both are in the semi-finals and therefore guaranteed a medal. The two organisations have been in open dispute. An IBA press conference in Paris was designed to clarify what tests Khelif and Lin underwent last year, and what the results showed. IBA officials including Kremlin-linked Russian oligarch Umar Kremlev, the organisation’s president, who was on a remote video call, gave a series of contradictory statements to a room packed full of reporters. The officials said they were also constrained by medical confidentiality. What was clear was when Ioannis Filippatos, former chairman of the IBA’s medical committee, said ‘abnormalities’ were detected in blood tests in 2022. The two boxers were tested again in 2023 to confirm the initial findings, IBA officials said, and after that they were disqualified. ‘The medical result, blood result, looks -- and the laboratory says -- that these boxers are male,’ said Filippatos. ‘The problem is that we have two blood exams with karyotype of male. This is the answer from the laboratory.’ A karyotype is an individual’s complete set of chromosomes, according to the National Human Genome Research Institute in the United States. IOC president Thomas Bach and high-level officials from Algeria and Taiwan have strenuously defended Khelif and Lin, saying they were born and raised as women, and have passports saying that. The Olympic body, which has effectively expelled the IBA from the Olympic movement, has accused the IBA of making ‘an arbitrary decision’ over disqualifying the duo in 2023. Khelif and Lin also fought at the Tokyo Olympics in 2021, but did not win a medal and competed without controversy.",https://www.newagebd.net/post/others/241756/iba-stripped-of-boxing-claims-gender-row-fighters-are-male
Important tasks that lie before interim government,"THE authoritarian government of the Awami League has been overthrown by the democratically oriented student and mass movement and the deposed prime minister Sheikh Hasina has fled the country in half an hour after her resignation. Earlier, several hundred people were killed, several thousand people, including student protesters and ordinary citizens, were wounded in attacks by the Awami League’s fronts and various law enforcement units in weeks of protests centring on reforms in civil service job reservations and thousands of people, including students and people in the opposition, were arrested amidst the protests. After the resolution of the job reservation issue by the government on a court order and in the wake of fresh demands that came up but have remained unmet, the students, joined in by people from all walks of life, took to the streets overwhelmingly and, finally, in the face of the government’s decision to deal with the protesters with an iron fist, came out on the streets in their thousands defying a curfew, demanding the resignation of the government of the Awami League. And, in the situation that emerged, Hasina left amidst the people’s student uprising. The army chief General Waker-uz-Zaman in a brief speech has, meanwhile, assured people of the trial of all the killings that took place during the protests and promised that an interim government would be formed in consultation with the president to restore peace and order. It appears that the army chief has negotiated the exit of the deposed prime minister and the formation of an interim government. Whilst we will be waiting for the composition of the interim government and representation of segments of society in it, we would want to remind the government that would be formed that so many people have laid down their lives, more than 300 hundred, not only to replace one government with another government but to bring about major democratic reforms in political and economic systems of the country. What yet remains a major task for the government is to deterrently deal with violence and to ensure the safety and security of the people, in general, and minorities, religious or ethnic, as they remain the most vulnerable to majoritarianism in such a precarious time. It is, therefore, of utmost importance for the government to protect the property, establishments and places of worship of the minorities and head off any repression on them. Besides, what remains the prime task for the new government is to conduct a credible investigation of corruption of all sorts, financial irregularities, illicit capital flow that has drained the economy, enforced disappearances, extrajudicial killing, violation of rights and all such ills that took place during the consecutive tenures of the government of the Awami League since its assumption of office in 2009 and publish a white paper on all this for all citizens to know. The interim government must, therefore, take early steps to do all this and make the unseating of the Awami League government meaningful on a path towards the democratic aspirations of the people.",https://www.newagebd.net/post/editorial/241753/important-tasks-that-lie-before-interim-government
